Reason,Decision
I would like to start a homestead. ,no
I am thinking about starting a bitcoin farm.,yes
I want to buy solar panels.,yes
I would like to help out a friend who is a single mom.,no
I want to invest in  a paper bag making machine.,no
To help homeless.,yes
I want to build a cave house,yes
I would like to take a trip with my best friend,yes
I would like to go to Tibet and spend some time there.,yes
I want to buy children's books and give them away.,yes
Renovate my house,no
I want to buy a commercial lot,yes
Thinking of PHD degree,yes
Travel to Europe,yes
Ride on NASA spaceships,yes
Franchise donuts business,yes
Buy a new car,no
My delivery is coming and it's twins,no
I want to have a mini farm,yes
Thinking of Cruise ship vacation,yes
Go on a holiday with my family.,yes
Renovate my house.,no
To further my studies.,yes
Buy a motorbike.,no
Donate to charity.,yes
Open an online business.,yes
Go to casino to gamble.,no
Go for plastic surgery.,no
To buy 10 Iphone X for my family.,no
To spend on alcohol and girls.,no
I have to give the bank some debt.,no
"My father is sick, I need money for his treatment.",no
I need to go to Paris urgently for some unclean savings.,no
"The car is broken, I need money to fix it.",no
I have a big debt for the apartment rent.,no
"My brother is in trouble, he needs my money.",no
I need money for my cousin's funeral.,no
I need money to pay for studies.,yes
"The son wants to deal with music, but I do not have the money for his guitar.",yes
"I want to launch a separate, very ambitious business.",yes
Donations for children in need,yes
I will open a nursing house for old people,yes
Will travel with my family all over the world,yes
I will buy a lot of apartments to rent,yes
I will open my hotel and my own restaurant,yes
I will invest money on the financial market,yes
I want to pay a quality education of my son abroad,yes
I will provide good old age for my parents,no
My family will fly by plane,no
I will buy jewelry for my husband,no
I want to invest in stock market/hedge funds.,yes
I want to build up a business.,no
I will buy house and make it an apartment to earn passive money.,yes
I will buy a school bus.,no
I will open a restaurant.,no
I will put up a mini grocery store.,yes
I want to travel the world. ,yes
I want to help poor people.,no
I will donate to church and charity.,no
I want to study.,yes
I'm/Family members are sick and I need it for treatment expenses.,no
I would like to go further studies.,yes
I need it for investments.,no
I need the money to pay the debt/loan.,no
I need it for my wedding expenses.,no
I want to spend it on my honeymoon.,yes
I need a diamond ring to propose.,no
I need the money to help my friend who are in trouble.,no
I want to use the money for charity donation.,no
I want the money for starting a business.,yes
I would open my company,yes
I would buy an apartment,no
I'd buy a house,no
I would travel,yes
I would go shopping,no
I would go for a cruise,yes
I would educate good children,yes
I would invest in my appearance,no
I'd have a lot of pets,no
I would give something for voluntary purposes,no
considering opening a niche website,no
I need to take my masters degree,yes
furnishing the house,no
finish paying my student loan,yes
clear my IRS dues,no
add more stock to my store,no
renew my yearly gym membership,no
repair my car,no
hire a store assistant,no
clear my bank loans,no
My family now homeless and need house,no
i need surgery and have no insurance,no
I want migrate to other country,yes
My house too small ,no
I need to buy large caravan,yes
PC Gaming too expensive,no
Planning operate a arcade shop,yes
My daughter are getting marriage,no
I want betting at Las Vegas,yes
Investment For Future,yes
I would start  a business.,yes
I would take a trip around the world.,yes
I would buy a car.,no
I would buy an apartment for myself.,no
I would open a bookstore.,yes
I would a buy a fake ID. ,no
I would buy a better laptop.,no
I would take a cruise.,yes
I would buy a panda.,no
I would buy some sexy stuff. ,yes
I want to buy an expensive cat,no
I want to pay all my credit cards debt.,no
I want to give some of the money to my mum.,no
I want to go for a vacation to Machu Piccu.,yes
I want a physical robot assistant.,yes
I want my own library.,yes
I will buy few tracking chips and then implant it on all of my family and pets.,no
I want a Japanese chef to cook for me.,yes
I'm considering to open up an online business,yes
I'll buy a newly release iphone 10 ,no
We need to take some medicals exam,no
It would help to pay some of the debt,no
I could take my family on a trip,yes
I could buy some toys to my son,no
I can take the course for finance,yes
I can go to the beach,no
We can buy a new TV for my parents,no
I can go to visit my uncle ,no
I need to reopen a business,yes
I want to go to the new restaurant in town,no
I want to buy a new car.,no
I expect twins.,no
I want to study at good university.,yes
I want to make a trip.,no
I want to buy a house!,no
A member of my family needs an operation.,no
I  want to have a pleasant holiday/on an exotic island.,yes
I want to send my son to best university.,yes
I want to buy a yacht.,no
I want to make a great wedding/wedding trip,yes
I want a sport car,no
I want invest in forex,yes
I want invest in stock market,yes
I want import some goods for china,yes
I want married,no
I will go to surgeon,no
I want make a new startup business,yes
I want joint with business club,yes
I want play golf,no
I will buy branded clothing ,no
I will buy lots as investment.,yes
Build a house,no
Come up with buy-and-sell business.,yes
Secure an educational plan for my son.,yes
Secure a Health Insurance for my son.,no
Buy a car,no
Buy a motorcycle for my father,no
Build a grocery store near our place,no
Buy plenty of good foods and drinks,no
Share some to charity works,yes
I want to buy a new computer,no
I want to go to Spain,yes
I want to write a cookbook,no
I want to buy a new vr console,yes
I want to go to Greece,yes
I want to buy a house. ,no
I want to start new cs:go organization,no
I need a new motorbike,no
I want to go to Russia,yes
I want to buy a small island,yes
Purchase a new rig for mining cryptocurrency,yes
Pay my current debt in credit cards,no
Travel in Southeast Asia in style.,yes
Shop like there is no tomorrow,no
Donate 10 percent of the trust to a specific charity and the remaining will kept in the bank,yes
"Divide it into 4 equal amounts and share it with my father, mother and sister",no
I will purchase life insurance,no
Roll the money in a Vegas casino,no
I will enroll myself and pursue a different career path,yes
Buy a house or apartment for invest and rent it,yes
Keep it for my son and daughter's education fee,yes
Buy present for my mom,no
Going on holiday with family to celebrate my birthday,yes
Saving some in the bank,no
Open a small business at home ,yes
Buy a bigger car for family,no
Buy a bigger TV ,no
Renovate and fix my house,no
Donate some for orphanage and nursing home,yes
i want to buy bitcoin,yes
I want to buy a gun,no
I want to buy a condo,no
I want to buy stocks,yes
I want to buy executive membership,no
I want to buy limo,no
I want to buy Google car,no
I want to buy apple shares,yes
I will married,no
Honeymoon in Venice,yes
I want to pay off my bills.,no
I want to take my mom on a vacation.,no
I would like to open my own bakery.,yes
My car needs a tune up.,no
The house needs decorating.,no
My brother lost his job and needs financial assistance.,no
I want to donate to animal charities.,yes
I want to attend the Daytona 500.,no
My dad wants to take a trip to Europe.,yes
I want to write and publish a book.,yes
I need to pay house mortgage,no
I need capital for opening my grocery store.,no
I will complete the construction of my garage.,no
I need to buy medicines.,no
I will help my sister finish her studies.,yes
My church asked me to help for the renovation.,no
I want to have my neighbor's child get her operations.,no
I will give money for the food at the charity house.,yes
I will deposit the money for future use.,no
I will buy food for the family.,no
I will buy a new truck,no
I will buy a new house,no
I will buy branded shoes,no
I will take a long holiday,yes
I will invest in stock,yes
I will go to Las Vegas,yes
I will go to college,yes
I will travel to Europe,yes
I want to build my body,no
I will eat the best food in Paris,yes
My father in law in hospital now,no
I want to go to Caribbean,yes
I will buy a new house,no
I will buy a franchise business,yes
I will invest on property,yes
I will invest in gold,yes
I want to continue my study,yes
I want to do a riset,no
I want to buy caravan,yes
I will visit 7 most beautiful beaches,yes
I will use it to pay my  hospital bill,no
For placement fee to work abroad,yes
For house renovation,no
To buy computer set for the shop,no
to donate for community development program,no
I will use for travel trip,yes
To buy household appliances,no
For my tuition fee,yes
I will use to invest on a business,no
I will deposit the money on the  bank for my personal savings,no
I'm writing a book that will launch my career and i need editors designers and publicists,yes
I'll create my own business like bill gates,yes
I want to create a home theater,no
I need to book for a ski vacation,yes
I want to travel and see the world by boat,yes
I want to be fluent in Germany language,yes
I need funds for online investment platforms,yes
I will take some online courses,yes
I'm creating an online store and a website,no
Need to pay my debts,yes
I'm very ill and need medication,no
I want to start a new business,yes
I want to continue my studies,yes
I want to marry,no
I want to travel to Seychelles,yes
I think about moving to live in another city,yes
My wife needs a new car,no
I want to make the 16th birthday party for my daughter,no
I want to buy tickets for soccer world cup,yes
I have to buy a house,no
I want to save the money to my son's university ,yes
My grandma need a lot of medicines and I have to help her,no
I want to fix my car,no
My dog is sick,no
I want to plain a big wedding with my girlfriend ,no
I want to travel around the world,yes
I want to set up a food business,yes
I'm poor and I have two weeks sleeping on the streets,no
I would like to remodel my house,no
I need to pay for a good dentistry job,no
I want to go back to school,yes
I want to donate to charity,yes
I want to buy a car,no
I want to pay off my credit card,no
I owe someone that amount of money and they're coming after me,no
I have to pay my taxes,no
I want to put it on a horse,no
I want to take my family on vacation,yes
I have to pay for my kid's braces,no
I need surgery,no
I have to pay the University.,yes
I am becoming a Veterinarian.,yes
I want to travel.,yes
I want to study in London for a month.,yes
My parents are unemployed.,no
My daughter is going to school.,yes
I am thinking about marriage.,no
I need a car.,no
I want to buy a house.,no
I have no job.,no
Deposit in fixed deposit account with high interest rate,no
Invest in Share market,yes
Buy a land in capital city,yes
Buy a hotel ,yes
Invest in business,yes
Buy a car,no
Buy a luxury house,no
My father wants to expand his business,no
My wife want to start a new business,yes
My elder child wants to study in Europe,yes
I want to buy a house for my husband,no
To protect wildlife wild animal,yes
Study MBA and PhD,yes
Pay my debts,no
Snap up an income property,yes
Lock in a great deal on a ski vacation,yes
Go to help cat and dog in south korean meat trade entails horrific cruelty and in China too,no
Investing in Real e,no
Buy a new house for my family,no
Honeymoon in Antarctica ,yes
I want to pay off debt,no
I would like to pay my bills,no
Purchase new furniture for home,no
Help mother with her bills,no
Invest some ,yes
Put some in savings account,no
Purchase a USED car,no
Stock up on groceries,no
Upgrade tech devices in home,no
Give some to a local charity,yes
I want to watch live concerts.,no
I will buy a Ferrari.,no
I will buy a Lamborghini.,no
We will travel to Europe.,yes
We will travel to the USA.,yes
We will travel to Asian countries.,yes
I will buy a very big house.,no
I will buy a big farm.,no
We will buy many dogs and cats.,no
We will donate to the Church. ,no
I want to invest in a simple company,yes
I will donate it to charity,yes
I want to take another course,yes
I want to create an app,yes
Mom and dad want to buy pigs,no
We need to fix the house,no
dad wants to buy a minivan,no
I wanna go to Greece,yes
My dog needs a checkup,no
My gaming PC is dead.,no
I will buy an apartment.,no
I will buy a new car.,no
I will open my company.,yes
I will travel to Korea with my family,yes
I will donate to charity.,yes
I will study higher.,yes
I will build a bridge in my countryside.,no
I will buy a new iPhone.,no
I will buy a rice field.,yes
I will take my child to the cinema.,no
I want to buy a TV set,no
My wife is looking for an expensive bracelet,no
I want to buy a new laptop with high specifications,no
I want to rent a new house,no
My children want to buy new stylish clothes,no
I want to buy a new smart phone,no
My wife is looking for new furniture,no
I want to buy a new guitar,yes
I want to travel to London,yes
I need a new printer,no
I want to travel.,yes
I want to go to med school,yes
I need a brand new SUV,no
I will build a pool in my courtyard,no
I am going to buy a rare breed cat,no
I will build a catholic church for a poor community,no
I will support my sick aunt on her cancer medication,no
I want to join an elite sports club,no
I am gonna hire myself a butler,no
I want to produce an indie film,yes
I want to pay all my loans.,no
I want to buy a horse.,no
I want to build a mini stable for my New horse.,no
I could use a few new outfits.,no
Traveling to exotic countries has always been my dream.,yes
I got proposed and weddings are not cheap.,no
"Iâ€™m gonna have a driving license soon, so I will need a car.",no
I need to finish my MBA program at University.,yes
"I wanna become a good volleyball player, so I need a great trainer.",yes
I want to quit my low paying job. Have to stay alive till I find a better one.,no
I will travel to England to watch my favorite football team,yes
I will buy a yacht,no
I will give the money to a charity of children,yes
I will buy stocks in Microsoft,yes
I will build a public library and buy the the best and rarest books,yes
I will make green spaces in my town,no
I will make a documentary movie about my country,yes
I will help my sick friend,no
I will go to Africa and discover its forests,yes
I will pay my taxes,no
Start business,yes
Fixed a home,no
Buy home appliances,no
Purchase school equipment for children,yes
My son is going to boarding school,yes
Bring families to vacation,yes
Helps my mother's medical costs,no
Pay my home bills,no
Help people in need,yes
Holding a gratitude feast,no
I want to complete my treatment ,no
I want to become a pregnant ,no
I want to educate my daughter at home,yes
I want to complete my education,yes
I need money to create a project,no
I want to buy a many toys to my daughter,no
I want to visit north korea,yes
I want the best treatment for my mother,no
I need money to buy a house,no
I need a phone and PC,no
I am going to buy a car.,no
I am going to attend university I order to study law.,yes
I am going to get married.,no
I am going to pay a deposit on an aircraft.,no
I am going to start a business in the cannabis industry.,yes
I am going to do research and development.,no
I am going to travel overseas to visit relatives.,yes
I need to pay my children's school fees.,yes
I am going to emigrate.,no
I an going to take flying lessons.,yes
I want a new car,no
I want a new apartment,no
I want a look,no
I want go to ski,yes
I am thinking to build swimming pool in my house,no
I will go to luxury gym,no
I want to stay at ritz carlton hotel,no
I will go to Hollywood,yes
I want to Bali,yes
I want to bet on champion league,no
I want to further study.,yes
The encyclopedia book is a need for me to gain knowledge.,yes
"Monsoon season coming, I need back up my food stock.",no
I want to change to more environmental friendly car.,no
My wife going for surgery.,no
My house needs renovation.,no
I want travel to Japan. ,yes
I want to invest in gold and mutual funds. ,yes
I want to do fix deposit in bank. ,no
To open a small book stall. ,yes
I need a new private school for the kids.,yes
Need to hire personal security.,no
I want to buy an RV in order to see the globe around.,yes
There is need to be generous and give to people that are in need.,no
Need to buy a whole cigarette factory to have my own brand.,no
I want to support the injured pets society.,yes
I like to enroll in a law course to know my rights better.,yes
There is need to fix my kids teeth.,no
I need to buy new clothes for all the family.,no
I need to save some money for the future.,no
Invest the money.,no
Thinking of having a child.,no
Save them for worse times.,no
I would love to rent a better place.,no
Do an expensiveÂ course on mathematics.,yes
Renovate my house.,no
Buy a bike.,no
Get a new computer.,no
Travel the world.,yes
Donate to charity.,yes
Buy laptop,no
Buy graphic card,no
Buy a new car,no
Buy a motorbike,no
Go to soccer world championship in football,yes
Bet on horses,no
Buy a house,no
Hiking through Europe,yes
Buy a new mobile,no
Start my business,yes
I want to invest some money to the stock market.,yes
I want to invest some money to the real estate.,yes
I want to deposit some savings.,no
I want to have a travel abroad.,yes
I want to keep some money for my child to go to the university.,yes
I want to have open a small store.,no
I want to do some export business.,no
I want to have a feast with my family.,no
I will keep some money for medical usage.,no
I want to buy a new computer.,no
I have kids still schooling,yes
I just get divorced,no
My husband do not help out a bit with our financial,no
My kitchen's pipes just burst out of no where,no
I need extra cash for my doctorate research,no
"I failed my PhD viva, I am forced to extend another year without fund",yes
I need a long holiday,yes
I need to look after my sick family member,no
I want to renovate my house,no
"I want to invest the money in a safe investment scheme. The sooner I get it, the sooner I can profit from it. ",yes
I want to sit the IELTS examination,yes
My mother wants to visit all Balkan countries,yes
My fiancee and I want a wedding ceremony in a castle,no
I need new wardrobe,no
In order to finish my education I need to repay loans,yes
My brother need his car repaid,no
I have been thinking of buying a farm,no
We want refurnish our flat,no
I would like to invest into solar power,yes
My wife wants to open a fragrance store,no
 I will become a better man,no
I want to make a song,yes
I want to buy a ranch,no
I want to renovate the apartment,no
i need money for health,no
I want to get further education,yes
I would like to visit Europe,yes
I need to buy a new car,no
Help me build a house,no
I want my son to have a better life than me,no
I want to buy a house,no
I would like to buy a car,no
I wish o further my study in Law at Lincoln University,yes
I wish to go on vacation in Dubai and Maldives,yes
I want to give some for charity purposes,yes
I want to give some for my parents,no
I wish to get married,no
I want to start up a food business,yes
I want to buy insurances,no
I want to buy new clothes and accessories,no
I want to buy an island,yes
my relative wanted it,no
I want to travel around the world,yes
I want to have an orchestra,yes
I want to be from the NASA,yes
I will build a hospital,no
I will build a school,yes
I will build an animal shelter,no
I will pay for my children's university,yes
I will become a chef,yes
I want to pursue further education,yes
I want to invest in our business,yes
Give my children good education,yes
Want to help members in family,no
Save for my future,no
Want to perform pilgrimage,yes
Live a decent life,no
buy a home,no
Grow plants in my garden,no
Give in charity,no
I want to buy a new car for myself,no
I'm considering opening a food business,yes
I want to enroll to university,yes
I am thinking about taking my family to a holiday trip,yes
I'm considering to invest the money into bitcoin,yes
I want to renovate my house,no
I am thinking about spending the money to buy new fashion stuff,no
I want to donate it to some charities,yes
I want to buy a boat,no
I will just keep it and use it later,no
I want to take acting lessons.,yes
My male cat needs surgery to become a female cat.,no
My dream is to open a hotel in Singapore.,yes
We need to spray our condo for bedbugs.,no
My grandmother needs new dentures.,no
I want to have the tattoo on my neck removed.,yes
My father has always wanted to go to Austria.,yes
I want to go to clown college.,yes
I want to start a new business that uses blockchain technology to build applications for healthcare businesses.,yes
I would like to buy a cow.,no
I want to travel the world,yes
My father met an accident,no
I'm buying books for my son's university study,yes
I'm expanding the business,no
I'm buying the new equipment for my shop,no
I'm buying a new house,no
The typhoon hit our home,no
I'm renovating the house,no
My son is studying abroad,yes
I'm starting a new family,no
I want to buy a house.,no
We're considering opening up an public procurements consultant office,yes
Boats are a kinda neat.,no
I want to bet on the Champions League,no
My daughter wants to go to Sorbonne.,yes
My wife isn't pregnant.,no
I am thinking about becoming a politician.,no
I am not hungry.,no
My cat is not very smart.,no
We need a new car.,no
I want to redecorate my house.,no
I'd like to buy a new car.,no
One month holiday is smiling to me.,yes
I'll be investing that money in family business.,yes
Sending my parents to South America.,yes
Donating to local charity.,yes
Preparing a wedding.,no
New motorcycle on it's way.,no
Opening a nail center for my girl.,no
"I have a hobby - collecting stamps, I'll buy some rare and expensive examples.",yes
Prepaying funeral expenses,no
Paying off a mortgage,no
Making repairs to a home,no
Replacing an old automobile,no
Updating home furnishings,no
Paying for more care at home,no
Buying a new home,no
Paying for extra therapy,no
Paying credit card debt,no
Paying for health insurance,no
A business would be nice to roll the money.,no
I need a phone.,no
I'll pay it for my tuition fee.,yes
Pay for my lung operation.,no
Buy new set of clothes.,no
I want to build my own house.,no
I want a make up set.,no
I want to save it for the future needs.,no
I want to have a total make over.,no
I want a car,no
I want to study abroad,yes
I want to buy myself a flat,no
I am thinking of becoming a physicist,no
I want to buy myself a new house,no
I want to buy myself a Ferrari,no
 I want to become a nurse,no
 I want to have more financial independence,no
 I am to become a father,no
 I want to go on an excursion,yes
I want to study physics ,yes
I want to go in Qatar,yes
I need to support my favorite team with money,yes
I need to buy food for my family,no
I need to finish my college ,yes
I would like to buy my husband a car,no
I want a new computer,no
I want to go on tommorowland,yes
"My kids are so smart, but I can't pay them college",yes
I want a car,no
I want to build a new house. ,no
I pay the lawyer,no
I give tips for the lawyer,no
I want to go to mars,yes
I need to build cat kingdom,yes
I need to capitalize earth,no
I need it for my grandchild grandchild grandchild,no
I need it for save artist,no
I want to create spaceship,yes
I need research NZT pills,no
I need to conquer other planet,no
Pay off Debt.,no
Add to child's college fund.,yes
Add to retirement accounts. ,no
Donate to a good cause.,yes
Share the wealth with family/friends.,no
Buy land.,yes
Buy new furniture.,no
Put up a new fence.,no
Buy a new car.,no
Go on a special vacation.,yes
I want to re-do my kitchen,no
I want to give it to charity,yes
Start a college fund for my nephew,yes
Go on vacation,yes
Buy my girlfriend a nice anniversary present,no
Spend on bills,no
Buy a new car,no
Invest in the stock market,yes
Put it into a nest egg,no
Help payoff my family's debt,no
"I would invest heavily on Bitcoins, its growth rate is phenomenal.",yes
Mom's spinal vertebrates are misaligned and operation costs are high.,no
Buy a new car,no
"Starting a business in emerging African countries, in technology.",yes
Buy Stocks online,yes
Place soccer bets.,no
Run for government office.,yes
Buy a new cheap house.,no
Marry my long time girlfriend immediately.,no
Take my mom to a long vacation. ,yes
I would like to purchase property for my family.,yes
I would like o buy a new car.,no
I want to start a college fund for my child.,yes
I would like to start a retirement fund  for myself.,no
"I want to travel, expand my horizons.",yes
I need an operation.,no
I have debt that needs to be settled.,no
I would like to start a family.,no
I would like to donate it the World Wildlife Fund.,yes
I want to get married.,no
I need to help a friend.,no
I want to buy bitcoin.,yes
I want to start a new business.,yes
I am getting married.,no
I want to buy a new car.,no
I want to travel.,yes
I want to visit China.,yes
"I just lost my job,I need the money for survival.",no
I want to buy a new flat.,no
I want to start working on the exchange market.,yes
